Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %
7/26/22 0:06,7/27/22 1:19,UTC+09:00,67,53,71,33.78,94.88,9.6,2493,154,67,7/26/22 0:06,7/26/22 9:31,96,16.1,504,563,152,129,223,59,526,33,89
7/24/22 23:43,7/26/22 0:06,UTC+09:00,88,52,86,33.8,97.09,12.3,2656,157,69,7/24/22 23:43,7/25/22 8:28,86,16.6,466,521,225,97,144,55,545,63,90
7/24/22 0:46,7/24/22 23:43,UTC+09:00,45,54,64,34,96.13,8.6,2202,173,67,7/24/22 0:46,7/24/22 7:21,73,17.2,379,392,143,69,167,13,523,30,96
7/23/22 0:30,7/24/22 0:46,UTC+09:00,55,53,67,33.1,96.43,12.2,2622,172,70,7/23/22 0:30,7/23/22 8:55,90,16.8,476,503,209,100,167,27,530,49,94
7/22/22 3:40,7/23/22 0:30,UTC+09:00,55,53,68,34.5,97.23,8.6,2026,151,67,7/22/22 3:40,7/22/22 10:56,79,16.1,400,435,173,78,149,35,509,0,92
7/21/22 0:09,7/22/22 3:40,UTC+09:00,67,53,72,33.6,94.42,15,3173,185,68,7/21/22 0:09,7/21/22 9:54,100,16.1,543,581,269,81,193,38,488,0,93
7/19/22 23:40,7/21/22 0:09,UTC+09:00,85,50,81,33,96.39,11,2539,174,65,7/19/22 23:40,7/20/22 9:37,100,16.4,557,596,319,108,130,39,484,0,93
7/18/22 23:51,7/19/22 23:40,UTC+09:00,58,55,65,34.6,96.48,9.8,2396,151,67,7/18/22 23:51,7/19/22 9:30,100,17.8,535,565,310,87,138,30,489,0,94
7/17/22 23:09,7/18/22 23:51,UTC+09:00,78,53,73,33.5,97.21,11.3,2625,170,67,7/17/22 23:09,7/18/22 11:04,100,16.8,576,715,217,122,237,139,552,70,80
7/16/22 23:55,7/17/22 23:09,UTC+09:00,50,55,58,33.4,96.94,8.5,2164,183,68,7/16/22 23:55,7/17/22 6:28,70,16.2,364,394,188,82,94,30,522,18,92
7/16/22 0:53,7/16/22 23:55,UTC+09:00,62,54,68,33.74,96.81,14.2,2882,170,74,7/16/22 0:53,7/16/22 8:36,94,17.3,431,462,191,99,141,31,461,73,93
7/15/22 0:23,7/16/22 0:53,UTC+09:00,25,59,43,34,96.47,10.7,2513,151,70,7/15/22 0:23,7/15/22 7:49,69,17.1,393,442,139,84,170,49,574,66,89
7/13/22 23:29,7/15/22 0:23,UTC+09:00,32,57,56,33.9,97,14.8,3089,181,72,7/13/22 23:29,7/14/22 6:42,72,16.9,404,433,138,113,153,29,563,63,93
7/12/22 22:38,7/13/22 23:29,UTC+09:00,38,58,53,34,96.18,13.3,2851,164,70,7/12/22 22:38,7/13/22 7:02,79,16.4,450,503,198,99,153,53,571,85,89
7/11/22 22:07,7/12/22 22:38,UTC+09:00,50,56,66,34.5,95.11,10.4,2456,155,72,7/11/22 22:07,7/12/22 5:28,64,16.9,385,442,212,46,127,57,606,172,87
7/10/22 15:23,7/11/22 22:07,UTC+09:00,,,,,,14,2960,159,76,,,,,,,,,,,,,
7/9/22 1:28,7/10/22 1:23,UTC-05:00,5,55,69,35.3,95,5,2075,129,62,7/9/22 1:28,7/9/22 3:58,27,17.8,138,150,49,33,56,12,515,18,93
7/8/22 1:23,7/9/22 1:28,UTC-05:00,41,54,63,34,95.71,12.9,2705,161,71,7/8/22 1:23,7/8/22 10:27,94,16.6,486,544,152,115,219,58,516,15,89
7/7/22 0:31,7/8/22 1:23,UTC-05:00,52,53,71,33.7,93.63,13.6,2944,154,72,7/7/22 0:31,7/7/22 9:15,95,16.1,494,524,226,88,180,30,520,30,95
7/6/22 2:08,7/7/22 0:31,UTC-05:00,42,54,65,33.7,96.53,11.5,2368,169,70,7/6/22 2:08,7/6/22 9:47,87,16.6,430,456,191,96,143,26,493,9,94
7/5/22 0:19,7/6/22 2:08,UTC-05:00,69,51,80,34,94.72,9.8,2539,153,67,7/5/22 0:19,7/5/22 9:24,97,16.5,503,545,274,74,155,42,517,18,92
7/3/22 23:57,7/5/22 0:19,UTC-05:00,42,54,67,33.7,97,13.3,2821,161,70,7/3/22 23:57,7/4/22 8:48,94,16.8,490,530,167,96,227,40,524,47,92
7/2/22 23:47,7/3/22 23:57,UTC-05:00,55,51,78,33.41,96.28,6.1,2167,139,61,7/2/22 23:47,7/3/22 8:00,80,16.5,459,490,214,89,156,31,575,94,93
7/2/22 3:34,7/2/22 23:47,UTC-05:00,60,50,86,32.8,97.25,8.5,2000,160,65,7/2/22 3:34,7/2/22 9:25,60,16.4,322,350,100,78,144,28,540,52,92
7/1/22 2:06,7/2/22 3:34,UTC-05:00,54,53,80,33.6,95.03,11,2593,164,65,7/1/22 2:06,7/1/22 9:31,78,16.1,415,445,200,61,154,30,536,18,93
6/30/22 1:52,7/1/22 2:06,UTC-05:00,81,49,93,33.9,95.24,16.2,3278,183,72,6/30/22 1:52,6/30/22 10:17,94,16.3,451,505,167,114,170,54,479,0,89
6/29/22 0:35,6/30/22 1:52,UTC-05:00,91,48,95,33.66,96.28,7.8,2368,154,60,6/29/22 0:35,6/29/22 10:43,100,16.1,549,605,288,84,177,56,484,0,91
6/28/22 0:16,6/29/22 0:35,UTC-05:00,54,53,76,33.7,95.95,9.8,2392,170,63,6/28/22 0:16,6/28/22 9:35,100,16.3,523,559,165,123,235,36,521,33,93
6/27/22 1:26,6/28/22 0:16,UTC-05:00,65,52,84,33.6,95.82,11,2426,152,68,6/27/22 1:26,6/27/22 10:44,89,16.6,493,559,182,98,213,66,555,70,88
6/26/22 2:26,6/27/22 1:26,UTC-05:00,90,50,96,33.8,95.94,9.8,2316,166,69,6/26/22 2:26,6/26/22 9:19,70,16.6,365,413,169,65,131,48,522,0,88
6/25/22 2:29,6/26/22 2:26,UTC-05:00,98,48,99,32.94,97.09,16.8,3295,184,72,6/25/22 2:29,6/25/22 11:12,100,16.2,489,521,177,95,217,32,488,9,93
6/24/22 1:33,6/25/22 2:29,UTC-05:00,95,51,91,33.6,95.37,7.5,2305,168,65,6/24/22 1:33,6/24/22 10:43,97,16.3,503,549,197,89,217,46,516,28,92
6/23/22 2:28,6/24/22 1:33,UTC-05:00,69,52,79,33.4,96.81,11,2409,179,66,6/23/22 2:28,6/23/22 10:06,88,15.8,424,452,129,113,182,28,483,0,94
6/21/22 23:44,6/23/22 2:28,UTC-05:00,47,56,68,33.6,95.88,9.5,2593,161,65,6/21/22 23:44,6/22/22 11:24,100,16.6,643,700,355,105,183,57,493,0,91
6/21/22 1:01,6/21/22 23:44,UTC-05:00,97,49,92,34.2,95.74,12.2,2512,155,69,6/21/22 1:01,6/21/22 9:32,100,16,477,511,238,70,169,34,475,111,93
