Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
6/2/22 3:25,6/3/22 4:53,UTC-05:00,6/2/22 17:00,6/2/22 19:52,171,Baseball,17.6,1558,182,132,5,19,28,21,21,FALSE,,,
6/1/22 1:09,6/2/22 3:25,UTC-05:00,6/1/22 18:26,6/1/22 19:21,55,Activity,9.2,410,157,123,4,16,51,26,0,FALSE,,,
5/31/22 0:04,6/1/22 1:09,UTC-05:00,5/31/22 15:34,5/31/22 17:10,96,Baseball,11.4,571,165,113,28,25,21,17,7,FALSE,,,
5/28/22 2:21,5/29/22 0:28,UTC-05:00,5/28/22 11:36,5/28/22 12:37,61,Baseball,10.4,496,160,127,8,13,31,45,0,FALSE,,,
5/27/22 1:12,5/28/22 2:21,UTC-05:00,5/27/22 12:12,5/27/22 12:49,37,Activity,6,183,151,116,2,28,48,4,0,FALSE,,,
5/24/22 23:41,5/26/22 0:08,UTC-05:00,5/25/22 15:35,5/25/22 15:56,20,Other,11.1,285,181,158,1,1,6,17,56,FALSE,,,
5/24/22 23:41,5/26/22 0:08,UTC-05:00,5/25/22 10:51,5/25/22 12:31,100,Activity,12.1,673,163,130,2,12,26,38,0,FALSE,,,
5/23/22 0:17,5/24/22 1:51,UTC-05:00,5/23/22 11:57,5/23/22 12:38,41,Baseball,7.4,283,148,122,0,23,61,14,0,FALSE,,,
5/23/22 0:17,5/24/22 1:51,UTC-05:00,5/23/22 11:17,5/23/22 11:37,19,Running,9,223,189,146,2,10,11,20,50,FALSE,,,
5/21/22 0:15,5/21/22 23:46,UTC-05:00,5/21/22 12:34,5/21/22 13:10,36,Weightlifting,6.5,210,167,115,18,13,48,16,3,FALSE,,,
5/21/22 0:15,5/21/22 23:46,UTC-05:00,5/21/22 11:24,5/21/22 12:21,57,Baseball,9.2,418,160,126,0,24,34,39,0,FALSE,,,
5/19/22 0:24,5/20/22 0:21,UTC-05:00,5/19/22 11:04,5/19/22 12:44,100,Activity,9.9,515,161,120,3,26,36,18,0,FALSE,,,
5/18/22 0:20,5/19/22 0:24,UTC-05:00,5/18/22 11:11,5/18/22 12:26,75,Baseball,10.8,563,154,126,8,15,31,44,0,FALSE,,,
5/15/22 23:09,5/17/22 3:06,UTC-05:00,5/16/22 11:19,5/16/22 12:03,43,Weightlifting,7.6,287,151,123,6,21,42,29,0,FALSE,,,
5/11/22 0:02,5/11/22 22:55,UTC-05:00,5/11/22 14:52,5/11/22 18:08,196,Baseball,16.8,1664,182,131,2,14,39,29,12,FALSE,,,
5/9/22 22:41,5/11/22 0:02,UTC-05:00,5/10/22 14:32,5/10/22 15:31,59,Activity,11.7,570,177,136,0,8,28,56,6,FALSE,,,
5/8/22 23:27,5/9/22 22:41,UTC-05:00,5/9/22 12:59,5/9/22 13:51,52,Activity,8.1,343,147,125,0,12,58,17,0,FALSE,,,
5/6/22 1:28,5/7/22 0:03,UTC-05:00,5/6/22 9:50,5/6/22 11:11,81,Baseball,11.9,615,164,125,14,16,29,32,6,FALSE,,,
5/5/22 0:06,5/6/22 1:28,UTC-05:00,5/5/22 10:51,5/5/22 11:39,48,Baseball,6.6,236,152,110,24,27,36,11,0,FALSE,,,
5/2/22 0:43,5/3/22 1:24,UTC-05:00,5/2/22 11:14,5/2/22 11:51,37,Baseball,8.1,307,146,128,0,20,36,43,0,FALSE,,,
5/1/22 0:01,5/2/22 0:43,UTC-05:00,5/1/22 14:27,5/1/22 15:46,78,Baseball,9.9,504,154,119,11,23,39,26,0,FALSE,,,
4/30/22 1:56,5/1/22 0:01,UTC-05:00,4/30/22 15:08,4/30/22 17:14,126,Activity,5.1,223,136,86,64,34,1,0,0,FALSE,,,
4/29/22 0:36,4/30/22 1:56,UTC-05:00,4/29/22 11:10,4/29/22 11:51,40,Baseball,6.5,227,151,116,12,24,55,8,0,FALSE,,,
4/28/22 0:08,4/29/22 0:36,UTC-05:00,4/28/22 16:58,4/28/22 17:12,13,Weightlifting,7.1,138,180,138,0,12,40,7,34,FALSE,,,
4/27/22 5:13,4/28/22 0:08,UTC-05:00,4/27/22 15:47,4/27/22 18:17,150,Activity,12.3,763,171,116,13,23,32,12,4,FALSE,,,
4/26/22 0:01,4/27/22 5:13,UTC-05:00,4/26/22 16:45,4/26/22 18:26,101,Activity,9.4,504,161,112,13,39,33,12,0,FALSE,,,
4/24/22 23:58,4/26/22 0:01,UTC-05:00,4/25/22 16:12,4/25/22 17:06,54,Baseball,8.2,353,147,121,0,28,52,18,0,FALSE,,,
4/24/22 23:58,4/26/22 0:01,UTC-05:00,4/25/22 11:37,4/25/22 12:33,55,Weightlifting,7.4,309,146,116,7,31,50,10,0,FALSE,,,
4/23/22 0:10,4/24/22 1:14,UTC-05:00,4/23/22 12:18,4/23/22 13:42,83,Activity,8.5,395,167,108,29,26,29,12,2,FALSE,,,
4/22/22 1:03,4/23/22 0:10,UTC-05:00,4/22/22 16:14,4/22/22 17:03,49,Activity,8.3,339,155,121,13,15,39,32,0,FALSE,,,
4/21/22 0:34,4/22/22 1:03,UTC-05:00,4/21/22 12:01,4/21/22 13:08,66,Activity,7.6,331,154,117,1,27,51,6,0,FALSE,,,
4/19/22 23:52,4/21/22 0:34,UTC-05:00,4/20/22 18:12,4/20/22 19:32,79,Baseball,13.6,738,183,135,1,10,42,24,18,FALSE,,,
4/19/22 23:52,4/21/22 0:34,UTC-05:00,4/20/22 16:04,4/20/22 16:57,52,Baseball,9.2,413,158,128,1,16,43,38,0,FALSE,,,
4/2/22 0:08,4/3/22 0:00,UTC-05:00,4/2/22 15:48,4/2/22 16:13,24,Activity,8.4,261,177,141,2,3,10,64,19,FALSE,,,
4/2/22 0:08,4/3/22 0:00,UTC-05:00,4/2/22 12:16,4/2/22 13:56,99,Activity,7.5,355,147,104,28,46,18,6,0,FALSE,,,
3/30/22 2:05,3/31/22 0:08,UTC-05:00,3/30/22 17:07,3/30/22 18:50,103,Baseball,12.3,690,169,122,4,34,32,20,8,FALSE,,,
3/27/22 1:19,3/28/22 1:41,UTC-05:00,3/27/22 15:54,3/27/22 17:37,103,Weightlifting,12.4,805,163,127,3,13,48,34,0,FALSE,,,
3/22/22 22:56,3/24/22 0:45,UTC-05:00,3/23/22 14:35,3/23/22 17:14,159,Baseball,13.2,984,165,117,16,18,40,22,3,FALSE,,,
3/20/22 23:54,3/21/22 23:08,UTC-05:00,3/21/22 11:47,3/21/22 12:37,49,Baseball,7.6,293,167,118,7,32,40,17,1,FALSE,,,
3/20/22 23:54,3/21/22 23:08,UTC-05:00,3/21/22 8:54,3/21/22 10:17,82,Weightlifting,5.8,223,176,95,53,25,18,0,1,FALSE,,,
3/20/22 1:25,3/20/22 23:54,UTC-05:00,3/20/22 12:19,3/20/22 13:12,53,Baseball,6.5,221,160,103,46,16,17,18,0,FALSE,,,
3/16/22 2:05,3/17/22 1:44,UTC-05:00,3/16/22 14:24,3/16/22 16:50,145,Baseball,15,1181,179,129,1,23,35,29,10,FALSE,,,
3/14/22 1:21,3/15/22 0:44,UTC-06:00,3/14/22 10:49,3/14/22 12:09,80,Baseball,7,304,149,106,21,49,24,4,0,FALSE,,,
3/13/22 1:25,3/14/22 1:21,UTC-06:00,3/13/22 15:24,3/13/22 17:24,120,Baseball,11.9,767,157,120,9,23,43,23,0,FALSE,,,
